Country or Area,Subgroup,People living with HIVAIDS
Sweden,Total,9
Switzerland,Female 15+ yr,6
Switzerland,Total,20
Tajikistan,Female 15+ yr,4
Tajikistan,Total,11
Thailand,Female 15+ yr,200
Thailand,Total,490
Togo,Female 15+ yr,73
Togo,Total,150
Togo,Total 0-14 yr,19
Trinidad and Tobago,Female 15+ yr,7
Trinidad and Tobago,Total,13
Tunisia,Female 15+ yr,<0.5
Tunisia,Total,2
Turkey,Female 15+ yr,2
Turkey,Total,6
Uganda,Female 15+ yr,670
Uganda,Total,1400
Uganda,Total 0-14 yr,190
Ukraine,Female 15+ yr,94
Ukraine,Total,230
United Kingdom,Female 15+ yr,29
United Kingdom,Total,94
United Republic of Tanzania,Female 15+ yr,760
United Republic of Tanzania,Total,1600
United Republic of Tanzania,Total 0-14 yr,230
United States,Female 15+ yr,300
United States,Total,1300
Uruguay,Female 15+ yr,4
Uruguay,Total,12
Venezuela (Bolivarian Republic of),Female 15+ yr,25
Venezuela (Bolivarian Republic of),Total,99
Viet Nam,Female 15+ yr,48
Viet Nam,Total,250
Western and Central Africa,Female 15+ yr,3200
Western and Central Africa,Total,6300
Western and Central Africa,Total 0-14 yr,850
World,Female 15+ yr,15000
World,Total,34000
World,Total 0-14 yr,3400
Yemen,Female 15+ yr,9
Yemen,Total,22
Zambia,Female 15+ yr,460
Zambia,Total,970
Zambia,Total 0-14 yr,170
Zimbabwe,Female 15+ yr,600
Zimbabwe,Total,1200
Zimbabwe,Total 0-14 yr,200
