Country or Area,Subgroup,Year,Source,Unit,Proportion of 1 year-old children immunised against measles,Proportion of 1 year-old children immunised against measles Footnotes
Kenya,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,87.0,
Kiribati,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,
Kuwait,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Kyrgyzstan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,
Lao People's Democratic Republic,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,69.0,
Latin America and Caribbean,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,93.0,1.0
Latvia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Least Developed Countries/Territories,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,76.0,1.0
Lebanon,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,79.0,
Lesotho,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,85.0,
Liberia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,40.0,
Libya,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Lithuania,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,
Luxembourg,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,
Madagascar,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,70.0,
Malawi,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,
Malaysia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Maldives,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,
Mali,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,56.0,
Malta,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,84.0,
Marshall Islands,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,
Mauritania,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,67.0,
Mauritius,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Mexico,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Micronesia (Federated States of),Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,92.0,
Middle East and North Africa,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,1.0
Monaco,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Mongolia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Montenegro,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,
Morocco,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Mozambique,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,82.0,
Myanmar,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
