Country or Area,Poorest 20% Learning materials at home - Playthings,Total Learning materials at home - Playthings,Richest 20% Learning materials at home - Playthings,Male Net attendance ratio in secondary education,Female Net attendance ratio in secondary education,Ratio of school attendance of orphans to school attendance of non-orphans,Gross enrolment ratio of girls to boys in primary education,Ratio of girls to boys starting grade 1 who reach grade 5,Proportion of pupils starting grade 1 who reach grade 5,Female 15-24 yr Literacy rate of 15-24 year-olds,Male 15-24 yr Literacy rate of 15-24 year-olds,Urban Net attendance ratio in primary education (NAR),Ratio of richest to poorest Net attendance ratio in primary education (NAR),Female Net attendance ratio in primary education (NAR),Poorest 20% Net attendance ratio in primary education (NAR),Richest 20% Net attendance ratio in primary education (NAR),Ratio of urban to rural Net attendance ratio in primary education (NAR),Rural Net attendance ratio in primary education (NAR),Male Net attendance ratio in primary education (NAR),Male Gross enrolment ratio in pre-primary education,Female Gross enrolment ratio in pre-primary education,Male Gross enrolment ratio in primary education,Female Gross enrolment ratio in primary education,Adult literacy rate,Gross enrolment ratio in lower secondary education,Gross enrolment ratio of girls to boys in secondary education,Poorest 20% Adult support for learning,Male Adult support for learning,Total Adult support for learning,Richest 20% Adult support for learning,Female Adult support for learning,Father's support for learning,Ratio of adult literacy rate of females to males,Central government expenditure allocated to education,Proportion of pupils starting grade 1 who reach grade 5 (survey data),Poorest 20% Attendance in early childhood education,Male Attendance in early childhood education,Total Attendance in early childhood education,Richest 20% Attendance in early childhood education,Female Attendance in early childhood education,Male Net enrolment ratio in secondary education,Female Net enrolment ratio in secondary education,Male Net enrolment ratio in primary education (NER),Female Net enrolment ratio in primary education (NER),Total Net enrolment ratio in primary education (NER),Gross enrolment ratio in upper secondary education,Poorest 20% Learning materials at home - Children's books,Total Learning materials at home - Children's books,Richest 20% Learning materials at home - Children's books
Nauru,0.6588077439141273,0.6919338727399862,0.6580916898584553,0.5306122448979592,0.7040816326530612,0.7606837606837606,0.8409090909090909,0.4836601307189546,0.9315068493150684,0.99,0.99,0.98,0.12,1.0,0.31313131313131315,0.48,0.30303030303030304,0.9595959595959596,1.0,0.5757575757575758,0.6216216216216216,0.3088235294117647,0.3985507246376812,0.94,0.6140350877192983,0.8125,0.6496003668763104,0.7236137851366959,0.7250288794763189,0.8169213836477991,0.7254492362982935,0.6049996019425201,0.8173913043478261,0.2,0.88,0.09230769230769233,0.020408163265306117,0.5,0.24742268041237114,0.030927835051546393,0.6666666666666666,0.7173913043478259,0.9365079365079364,0.9402985074626866,0.9846153846153848,0.392638036809816,0.24069340186199611,0.3423123473600035,0.5195381487834321
Nepal,0.5945945945945946,0.6056338028169014,0.7405063291139241,0.4693877551020408,0.3877551020408163,0.7521367521367521,0.6590909090909091,0.5686274509803921,0.3972602739726027,0.78,0.88,0.7,0.096,0.898989898989899,0.8181818181818182,0.94,0.30303030303030304,0.696969696969697,0.8888888888888888,0.28484848484848485,0.32432432432432434,0.4338235294117647,0.463768115942029,0.6,0.4912280701754386,0.5104166666666666,0.5347222222222223,0.6360544217687076,0.6394557823129251,0.7933333333333333,0.6462585034013606,0.7004219409282701,0.5739130434782609,0.26666666666666666,0.95,0.2153846153846154,0.1020408163265306,0.6326530612244898,0.6288659793814433,0.10309278350515463,0.4827586206896552,0.4130434782608696,0.8888888888888888,0.8656716417910447,0.8307692307692308,0.25153374233128833,0.010752688172043013,0.36597938144329895,0.14646464646464644
Netherlands,0.6588077439141273,0.6919338727399862,0.6580916898584553,0.5703755339345039,0.5798192532827089,0.7627715795654721,0.6818181818181818,0.5490196078431373,0.9452054794520548,0.99,0.99,0.8813114455084354,0.10568099642372658,0.8162795879451135,0.5881933778530154,0.7350180046861513,0.34246915115588233,0.8217924802056124,0.8244458377666305,0.5575757575757576,0.6216216216216216,0.4411764705882353,0.4782608695652174,0.98,0.9473684210526316,0.59375,0.6496003668763104,0.7236137851366959,0.7250288794763189,0.8169213836477991,0.7254492362982935,0.6049996019425201,0.8521739130434782,0.3333333333333333,0.9031522702104097,0.22661001788908747,0.216186125613036,0.3896189289669356,0.4896277871014144,0.22159354271557596,0.8620689655172413,0.8695652173913043,0.9614512471655328,0.9637526652452024,0.956043956043956,0.6871165644171779,0.24069340186199611,0.3423123473600035,0.5195381487834321
New Zealand,0.6588077439141273,0.6919338727399862,0.6580916898584553,0.6224489795918368,0.6428571428571429,0.7606837606837606,0.7045454545454546,0.4836601307189546,0.9315068493150684,0.99,0.99,0.98,0.12,1.0,0.31313131313131315,0.48,0.30303030303030304,0.9595959595959596,1.0,0.5454545454545454,0.6351351351351351,0.3897058823529412,0.43478260869565216,0.94,0.7456140350877193,0.65625,0.6496003668763104,0.7236137851366959,0.7250288794763189,0.8169213836477991,0.7254492362982935,0.6049996019425201,0.8173913043478261,0.3333333333333333,0.88,0.09230769230769233,0.020408163265306117,0.5,0.24742268041237114,0.030927835051546393,0.942528735632184,0.9456521739130436,0.984126984126984,1.0,0.6,0.8159509202453987,0.24069340186199611,0.3423123473600035,0.5195381487834321
Nicaragua,0.7432432432432432,0.6901408450704225,0.7341772151898734,0.35714285714285715,0.4795918367346938,0.7435897435897436,0.6590909090909091,0.5686274509803921,0.8767123287671232,0.89,0.85,0.76,0.08800000000000001,0.8585858585858586,0.8888888888888888,0.97,0.3636363636363637,0.6464646464646465,0.8686868686868687,0.3272727272727273,0.3716216216216216,0.5220588235294118,0.5434782608695652,0.78,0.5350877192982456,0.7083333333333334,0.7604166666666666,0.8979591836734694,0.8775510204081632,0.94,0.8469387755102041,0.6329113924050633,0.8695652173913043,0.26666666666666666,0.56,0.24615384615384614,0.8877551020408163,0.8775510204081632,0.6082474226804123,0.8762886597938144,0.3563218390804598,0.44565217391304346,0.8888888888888888,0.9253731343283582,0.9846153846153848,0.3067484662576687,0.1827956989247312,0.010309278350515464,0.7373737373737373
Niger,0.3918918918918919,0.5070422535211268,0.5443037974683544,0.1326530612244898,0.08163265306122447,0.5726495726495726,0.2954545454545455,0.4117647058823529,0.5753424657534246,0.23,0.52,0.71,0.096,0.6363636363636364,0.6666666666666666,0.76,0.6666666666666667,0.3232323232323233,0.6060606060606061,0.01818181818181818,0.020270270270270268,0.18382352941176472,0.13768115942028986,0.29,0.5734192251461996,0.25,0.59375,0.6428571428571429,0.6428571428571429,0.77,0.6428571428571429,0.4430379746835443,0.3043478260869565,0.2,0.88,0.09230769230769233,0.020408163265306117,0.5,0.24742268041237114,0.030927835051546393,0.011494252873563218,0.6121215062111802,0.42857142857142855,0.2835820895522388,0.7846153846153846,0.38480956032719843,0.010752688172043013,0.08247422680412371,0.21212121212121213
Nigeria,0.33783783783783783,0.4929577464788733,0.5316455696202531,0.4591836734693878,0.4387755102040816,1.0,0.5,0.6666666666666666,0.726027397260274,0.66,0.78,0.78,0.096,1.0,0.26262626262626265,0.32,0.42424242424242425,0.5656565656565656,0.98989898989899,0.07878787878787878,0.08783783783783784,0.2867647058823529,0.2753623188405797,0.61,0.2456140350877193,0.4791666666666667,0.7083333333333334,0.7959183673469388,0.7959183673469388,0.91,0.7959183673469388,0.4810126582278481,0.6086956521739131,0.26666666666666666,0.98,0.07692307692307693,0.051020408163265314,0.1020408163265306,0.7216494845360825,0.05154639175257732,0.2676518883415435,0.2375776397515528,0.36507936507936506,0.3283582089552239,0.9692307692307692,0.22699386503067484,0.021505376344086027,0.14432989690721648,0.35353535353535354
Norway,0.6588077439141273,0.6919338727399862,0.6580916898584553,0.5703755339345039,0.5798192532827089,0.7627715795654721,0.7045454545454546,0.5294117647058824,0.9863013698630136,0.99,0.99,0.8813114455084354,0.10568099642372658,0.8162795879451135,0.5881933778530154,0.7350180046861513,0.34246915115588233,0.8217924802056124,0.8244458377666305,0.6,0.6554054054054054,0.375,0.42028985507246375,0.98,0.6929824561403509,0.5833333333333334,0.6496003668763104,0.7236137851366959,0.7250288794763189,0.8169213836477991,0.7254492362982935,0.6049996019425201,0.8521739130434782,0.4,0.9031522702104097,0.22661001788908747,0.216186125613036,0.3896189289669356,0.4896277871014144,0.22159354271557596,0.942528735632184,0.9347826086956522,0.984126984126984,0.9850746268656716,0.8307692307692308,0.7361963190184049,0.24069340186199611,0.3423123473600035,0.5195381487834321
Oman,0.6216216216216216,0.7793427230046949,0.5949367088607594,0.7460317460317459,0.7346938775510204,0.7350427350427351,0.6363636363636364,0.5637254901960784,0.8664383561643836,0.98,0.98,0.8816666666666668,0.08266666666666665,0.8114478114478114,0.6397306397306398,0.7466666666666667,0.3282828282828283,0.8164983164983165,0.8232323232323232,0.26666666666666666,0.2972972972972973,0.4338235294117647,0.4565217391304348,0.87,0.7807017543859649,0.59375,0.53125,0.6700680272108844,0.6666666666666666,0.7966666666666667,0.6598639455782314,0.7443037974683544,0.7826086956521741,0.2,0.9455555555555556,0.16153846153846155,0.03571428571428571,0.5714285714285714,0.4536082474226804,0.03608247422680412,0.8850574712643678,0.8913043478260869,1.0,0.9552238805970148,0.9384615384615383,0.5460122699386503,0.22939068100358415,0.32302405498281783,0.5892255892255893
Pakistan,0.5945945945945946,0.6056338028169014,0.7405063291139241,0.35714285714285715,0.2959183673469388,0.6153846153846154,0.2954545454545455,0.3725490196078432,0.4794520547945205,0.61,0.79,0.78,0.192,0.7676767676767676,0.31313131313131315,0.72,0.393939393939394,0.6262626262626263,0.7373737373737373,0.28484848484848485,0.32432432432432434,0.4117647058823529,0.3188405797101449,0.55,0.21929824561403508,0.3541666666666667,0.5347222222222223,0.6360544217687076,0.6394557823129251,0.7933333333333333,0.6462585034013606,0.7004219409282701,0.5130434782608696,0.13333333333333333,0.95,0.1435897435897436,0.1836734693877551,0.3707482993197279,0.3573883161512027,0.2027491408934708,0.2988505747126437,0.22826086956521735,0.6984126984126984,0.5074626865671642,0.9846153846153848,0.13496932515337426,0.010752688172043013,0.36597938144329895,0.14646464646464644
Panama,0.7432432432432432,0.6901408450704225,0.7341772151898734,0.42857142857142855,0.4877551020408163,0.7435897435897436,0.6363636363636364,0.5294117647058824,0.9178082191780822,0.97,0.98,0.9025,0.07200000000000001,0.8787878787878788,0.5328282828282829,0.59,0.3257575757575757,0.8585858585858586,0.8661616161616161,0.4,0.4459459459459459,0.4485294117647059,0.4710144927536232,0.94,0.6491228070175439,0.6770833333333334,0.7604166666666666,0.8979591836734694,0.8775510204081632,0.94,0.8469387755102041,0.6329113924050633,0.8608695652173913,0.2,0.77,0.24615384615384614,0.8877551020408163,0.8775510204081632,0.6082474226804123,0.8762886597938144,0.6206896551724138,0.6956521739130435,0.984126984126984,0.9701492537313432,0.9384615384615383,0.3067484662576687,0.1827956989247312,0.010309278350515464,0.7373737373737373
Papua New Guinea,0.6588077439141273,0.6919338727399862,0.6580916898584553,0.6224489795918368,0.6428571428571429,0.7606837606837606,0.4545454545454545,0.4836601307189546,0.9315068493150684,0.72,0.65,0.98,0.12,1.0,0.31313131313131315,0.48,0.30303030303030304,0.9595959595959596,1.0,0.6060606060606061,0.6621621621621622,0.11029411764705882,0.11594202898550725,0.61,0.6140350877192983,0.6458333333333334,0.6496003668763104,0.7236137851366959,0.7250288794763189,0.8169213836477991,0.7254492362982935,0.6049996019425201,0.7826086956521741,0.2,0.88,0.09230769230769233,0.020408163265306117,0.5,0.24742268041237114,0.030927835051546393,0.6666666666666666,0.7173913043478259,0.9365079365079364,0.9402985074626866,0.9846153846153848,0.392638036809816,0.24069340186199611,0.3423123473600035,0.5195381487834321
Paraguay,0.9054054054054054,0.7676056338028169,0.7784810126582279,0.8265306122448979,0.8163265306122449,0.7627715795654721,0.6363636363636364,0.6470588235294118,0.6986301369863014,0.99,0.99,0.89,0.14400000000000002,0.696969696969697,0.42424242424242425,0.74,0.30303030303030304,0.8787878787878788,0.6363636363636364,0.20606060606060608,0.2297297297297297,0.3897058823529412,0.4130434782608696,0.94,0.5175438596491229,0.65625,0.71875,0.8316326530612245,0.8367346938775511,0.955,0.8418367346938775,0.5253164556962026,0.8521739130434782,0.2,0.9257142857142856,0.38461538461538464,0.4336734693877551,0.20408163265306126,0.7268041237113402,0.4587628865979381,0.5287356321839081,0.5869565217391305,0.7777777777777778,0.7910447761194029,0.9846153846153848,0.31901840490797545,0.25806451612903225,0.4793814432989691,0.8131313131313131
Peru,0.9054054054054054,0.7676056338028169,0.7784810126582279,0.8265306122448979,0.8367346938775511,0.7627715795654721,0.7045454545454546,0.5490196078431373,0.8630136986301371,0.97,0.98,0.97,0.08800000000000001,0.15151515151515152,0.9292929292929292,0.97,0.30303030303030304,0.9494949494949496,0.18181818181818185,0.4727272727272727,0.527027027027027,0.4411764705882353,0.4855072463768116,0.9,0.7192982456140351,0.5833333333333334,0.71875,0.8316326530612245,0.8367346938775511,0.955,0.8418367346938775,0.5253164556962026,0.7739130434782608,0.13333333333333333,0.95,0.38461538461538464,0.4336734693877551,0.20408163265306126,0.7268041237113402,0.4587628865979381,0.7471264367816092,0.7608695652173914,0.9682539682539684,0.9701492537313432,0.8461538461538461,0.4478527607361963,0.25806451612903225,0.4793814432989691,0.8131313131313131
Philippines,0.6891891891891891,0.5633802816901409,0.6033755274261602,0.5612244897959183,0.7142857142857143,0.7350427350427351,0.6590909090909091,0.7450980392156863,0.6712328767123288,0.98,0.97,0.939,0.09919999999999997,0.897979797979798,0.6616161616161617,0.7809999999999999,0.3121212121212121,0.906060606060606,0.8969696969696971,0.30303030303030304,0.34459459459459457,0.4338235294117647,0.463768115942029,0.95,0.6052631578947368,0.6875,0.5494791666666666,0.6505102040816326,0.6556122448979592,0.8175,0.6658163265306123,0.5886075949367089,0.8782608695652174,0.13333333333333333,0.9,0.3461538461538461,0.3333333333333333,0.2295918367346939,0.5274914089347078,0.3402061855670103,0.5057471264367817,0.6413043478260869,0.8095238095238095,0.8507462686567164,0.8153846153846154,0.44171779141104295,0.1039426523297491,0.3161512027491409,0.44107744107744096
Poland,0.4864864864864865,0.6619718309859155,0.5949367088607594,0.8911564625850338,0.9081632653061223,0.7627715795654721,0.6818181818181818,0.5294117647058824,0.9726027397260274,1.0,1.0,0.815,0.056,0.8636363636363636,0.3434343434343434,0.465,0.2878787878787879,0.8636363636363636,0.8636363636363636,0.3878787878787879,0.4391891891891892,0.36764705882352944,0.4057971014492754,1.0,0.6842105263157895,0.59375,0.9895833333333334,0.9897959183673468,0.9897959183673468,0.98,0.979591836734694,0.9113924050632912,0.8695652173913043,0.3333333333333333,1.0,0.4615384615384616,0.08163265306122447,0.33673469387755106,0.7628865979381443,0.07216494845360824,0.8965517241379308,0.9130434782608696,0.9365079365079364,0.9402985074626866,0.9384615384615383,0.5705521472392638,1.0,1.0,1.0
Portugal,0.7837837837837838,0.7577464788732394,0.6658227848101266,0.8877551020408163,0.8857142857142857,0.7627715795654721,0.6363636363636364,0.5490196078431373,0.9452054794520548,1.0,1.0,0.966,0.0624,0.8383838383838383,0.39797979797979793,0.48,0.30303030303030304,0.9757575757575756,0.8404040404040405,0.4909090909090909,0.5472972972972973,0.5,0.5144927536231884,0.95,0.8508771929824561,0.6458333333333334,0.8229166666666666,0.9224489795918368,0.9244897959183672,0.962,0.926530612244898,0.8987341772151899,0.8434782608695652,0.3333333333333333,0.99,0.21153846153846154,0.2372448979591837,0.25,0.5463917525773195,0.25773195876288657,0.8160919540229885,0.8043478260869565,0.984126984126984,1.0,0.9846153846153848,0.5766871165644172,0.4,0.44948453608247424,0.8101010101010101
Qatar,0.6216216216216216,0.7793427230046949,0.5949367088607594,0.7460317460317459,0.7346938775510204,0.7350427350427351,0.7045454545454546,0.5637254901960784,0.8664383561643836,0.98,0.96,0.8816666666666668,0.08266666666666665,0.8114478114478114,0.6397306397306398,0.7466666666666667,0.3282828282828283,0.8164983164983165,0.8232323232323232,0.3393939393939394,0.3581081081081081,0.4044117647058824,0.4492753623188406,0.96,0.7192982456140351,0.8229166666666666,0.53125,0.6700680272108844,0.6666666666666666,0.7966666666666667,0.6598639455782314,0.7443037974683544,0.8608695652173913,0.06666666666666668,0.9455555555555556,0.16153846153846155,0.03571428571428571,0.5714285714285714,0.4536082474226804,0.03608247422680412,0.7356321839080459,0.9239130434782608,0.9365079365079364,0.9552238805970148,0.7846153846153846,0.5030674846625767,0.22939068100358415,0.32302405498281783,0.5892255892255893
Republic of Korea,1.0,0.9577464788732394,0.7848101265822784,0.6224489795918368,0.6428571428571429,0.8717948717948718,0.6818181818181818,0.5294117647058824,0.9863013698630136,0.99,0.99,0.98,0.12,1.0,0.31313131313131315,0.48,0.30303030303030304,0.9595959595959596,1.0,0.7090909090909091,0.7972972972972973,0.4264705882352941,0.463768115942029,0.94,0.7105263157894737,0.59375,0.4583333333333333,0.5714285714285714,0.6020408163265306,0.73,0.6326530612244898,0.7341772151898734,0.8173913043478261,0.26666666666666666,0.99,0.4,0.21428571428571427,0.3775510204081632,0.8556701030927835,0.17525773195876287,0.9655172413793104,0.9456521739130436,0.984126984126984,0.9701492537313432,0.8461538461538461,0.5521472392638037,0.06451612903225806,0.2371134020618557,0.4848484848484849
