Country or Area,Subgroup,Year,Source,Unit,Internet users,Internet users Footnotes
Oman,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,68.0,
Pakistan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,9.0,
Panama,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,43.0,
Papua New Guinea,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,2.0,
Paraguay,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,24.0,
Peru,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,37.0,
Philippines,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,29.0,
Poland,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,65.0,
Portugal,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,55.0,
Qatar,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,86.0,
Republic of Korea,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,84.0,
Republic of Moldova,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,38.0,
Romania,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,44.0,
Russian Federation,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,49.0,
Rwanda,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,7.0,
Saint Lucia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,42.0,
Saint Vincent and the Grenadines,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,43.0,
San Marino,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,50.0,
Sao Tome and Principe,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,20.0,
Saudi Arabia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,48.0,
Senegal,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,18.0,
Serbia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,42.0,
Seychelles,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,43.0,
Singapore,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,75.0,
